Date,Open,Close,High,Low,Mid,FromCurrency,ToCurrency,,,
Saturday (28/05/2022),1.0733,1.0732,1.0765,1.0697,1.0731,EUR,USD,,,
Friday 27 May 2022 (27/05/2022),1.0733,1.0732,1.0765,1.0697,1.0731,EUR,USD,,,
Thursday 26 May 2022 (26/05/2022),1.0687,1.0732,1.0734,1.0662,1.0698,EUR,USD,,,
Wednesday 25 May 2022 (25/05/2022),1.0733,1.0686,1.0736,1.0642,1.0689,EUR,USD,,,
Tuesday 24 May 2022 (24/05/2022),1.0683,1.0733,1.0748,1.0661,1.0704,EUR,USD,,,
Monday 23 May 2022 (23/05/2022),1.0568,1.0681,1.0697,1.0567,1.0632,EUR,USD,,,
Friday 20 May 2022 (20/05/2022),1.058,1.056,1.0598,1.0533,1.0566,EUR,USD,,,
Thursday 19 May 2022 (19/05/2022),1.0474,1.0578,1.0607,1.0465,1.0536,EUR,USD,,,
Wednesday 18 May 2022 (18/05/2022),1.0549,1.0472,1.0563,1.0459,1.0511,EUR,USD,,,
Tuesday 17 May 2022 (17/05/2022),1.0439,1.0547,1.0555,1.0431,1.0493,EUR,USD,,,
Monday 16 May 2022 (16/05/2022),1.0401,1.0439,1.0443,1.0389,1.0416,EUR,USD,,,
Friday 13 May 2022 (13/05/2022),1.0378,1.0408,1.0419,1.035,1.0385,EUR,USD,,,
Thursday 12 May 2022 (12/05/2022),1.0512,1.0379,1.0529,1.0354,1.0442,EUR,USD,,,
Wednesday 11 May 2022 (11/05/2022),1.0529,1.0512,1.0577,1.0502,1.0539,EUR,USD,,,
Tuesday 10 May 2022 (10/05/2022),1.0564,1.053,1.0585,1.0524,1.0555,EUR,USD,,,
Monday 9 May 2022 (09/05/2022),1.0532,1.0565,1.0592,1.0495,1.0544,EUR,USD,,,
Friday 6 May 2022 (06/05/2022),1.054,1.0534,1.0599,1.0483,1.0541,EUR,USD,,,
Thursday 5 May 2022 (05/05/2022),1.0621,1.0539,1.0641,1.0492,1.0567,EUR,USD,,,
Wednesday 4 May 2022 (04/05/2022),1.0526,1.0621,1.0631,1.0506,1.0569,EUR,USD,,,
Tuesday 3 May 2022 (03/05/2022),1.0509,1.0526,1.0577,1.0493,1.0535,EUR,USD,,,
Monday 2 May 2022 (02/05/2022),1.0537,1.0509,1.0567,1.049,1.0529,EUR,USD,,,
Friday 29 April 2022 (29/04/2022),1.0504,1.0541,1.0591,1.0502,1.0547,EUR,USD,,,
Thursday 28 April 2022 (28/04/2022),1.0554,1.0501,1.0564,1.0471,1.0518,EUR,USD,,,
Wednesday 27 April 2022 (27/04/2022),1.0643,1.0554,1.0654,1.0515,1.0585,EUR,USD,,,
Tuesday 26 April 2022 (26/04/2022),1.0713,1.0642,1.0738,1.0633,1.0685,EUR,USD,,,
Monday 25 April 2022 (25/04/2022),1.081,1.0714,1.0812,1.0696,1.0754,EUR,USD,,,
Friday 22 April 2022 (22/04/2022),1.0834,1.0798,1.0852,1.0766,1.0809,EUR,USD,,,
Thursday 21 April 2022 (21/04/2022),1.0849,1.0834,1.0935,1.0823,1.0879,EUR,USD,,,
Wednesday 20 April 2022 (20/04/2022),1.0795,1.0849,1.0866,1.0784,1.0825,EUR,USD,,,
Tuesday 19 April 2022 (19/04/2022),1.078,1.0792,1.0812,1.0761,1.0787,EUR,USD,,,
Monday 18 April 2022 (18/04/2022),1.0815,1.078,1.0816,1.077,1.0793,EUR,USD,,,
Friday 15 April 2022 (15/04/2022),1.0821,1.081,1.0824,1.079,1.0807,EUR,USD,,,
Thursday 14 April 2022 (14/04/2022),1.0896,1.0822,1.0923,1.0758,1.0841,EUR,USD,,,
Wednesday 13 April 2022 (13/04/2022),1.0826,1.0895,1.0897,1.0808,1.0852,EUR,USD,,,
Tuesday 12 April 2022 (12/04/2022),1.0877,1.0826,1.0903,1.0821,1.0862,EUR,USD,,,
Monday 11 April 2022 (11/04/2022),1.0885,1.0878,1.0933,1.0873,1.0903,EUR,USD,,,
Friday 8 April 2022 (08/04/2022),1.0865,1.0874,1.0891,1.0836,1.0863,EUR,USD,,,
Thursday 7 April 2022 (07/04/2022),1.0898,1.0865,1.0937,1.0861,1.0899,EUR,USD,,,
Wednesday 6 April 2022 (06/04/2022),1.0906,1.0898,1.0937,1.0874,1.0906,EUR,USD,,,
Tuesday 5 April 2022 (05/04/2022),1.0974,1.0906,1.0988,1.0899,1.0944,EUR,USD,,,
Monday 4 April 2022 (04/04/2022),1.1044,1.0974,1.1054,1.096,1.1007,EUR,USD,,,
Saturday 2 April 2022 (02/04/2022),1.1072,1.1049,1.1075,1.1028,1.1051,EUR,USD,,,
Friday 1 April 2022 (01/04/2022),1.1072,1.1049,1.1075,1.1028,1.1051,EUR,USD,,,
Thursday 31 March 2022 (31/03/2022),1.1161,1.1072,1.1185,1.1061,1.1123,EUR,USD,,,
Wednesday 30 March 2022 (30/03/2022),1.1091,1.1161,1.1171,1.1087,1.1129,EUR,USD,,,
Tuesday 29 March 2022 (29/03/2022),1.0993,1.1091,1.1137,1.0969,1.1053,EUR,USD,,,
Monday 28 March 2022 (28/03/2022),1.0982,1.0991,1.0999,1.0943,1.0971,EUR,USD,,,
Friday 25 March 2022 (25/03/2022),1.1009,1.0988,1.1038,1.0979,1.1009,EUR,USD,,,
Thursday 24 March 2022 (24/03/2022),1.1006,1.101,1.1013,1.0966,1.099,EUR,USD,,,
Wednesday 23 March 2022 (23/03/2022),1.103,1.1006,1.104,1.0964,1.1002,EUR,USD,,,
Tuesday 22 March 2022 (22/03/2022),1.1017,1.1026,1.1045,1.0961,1.1003,EUR,USD,,,
Monday 21 March 2022 (21/03/2022),1.1042,1.1014,1.107,1.101,1.104,EUR,USD,,,
Friday 18 March 2022 (18/03/2022),1.1099,1.1069,1.1118,1.1003,1.1061,EUR,USD,,,
Thursday 17 March 2022 (17/03/2022),1.1022,1.1098,1.1137,1.102,1.1079,EUR,USD,,,
Wednesday 16 March 2022 (16/03/2022),1.0968,1.1021,1.1047,1.095,1.0998,EUR,USD,,,
Tuesday 15 March 2022 (15/03/2022),1.0943,1.0967,1.1019,1.0927,1.0973,EUR,USD,,,
Monday 14 March 2022 (14/03/2022),1.0932,1.0944,1.0994,1.0901,1.0947,EUR,USD,,,
Friday 11 March 2022 (11/03/2022),1.1013,1.0913,1.1042,1.0902,1.0972,EUR,USD,,,
Thursday 10 March 2022 (10/03/2022),1.1073,1.1013,1.112,1.0976,1.1048,EUR,USD,,,
Wednesday 9 March 2022 (09/03/2022),1.0897,1.1073,1.1094,1.0895,1.0995,EUR,USD,,,
Tuesday 8 March 2022 (08/03/2022),1.0865,1.0896,1.0958,1.085,1.0904,EUR,USD,,,
Monday 7 March 2022 (07/03/2022),1.0873,1.0865,1.0931,1.0808,1.087,EUR,USD,,,
Friday 4 March 2022 (04/03/2022),1.1066,1.0926,1.1066,1.0889,1.0978,EUR,USD,,,
Thursday 3 March 2022 (03/03/2022),1.1111,1.1065,1.1115,1.1034,1.1075,EUR,USD,,,
Wednesday 2 March 2022 (02/03/2022),1.1131,1.1114,1.1142,1.1058,1.11,EUR,USD,,,
Tuesday 1 March 2022 (01/03/2022),1.1214,1.113,1.1233,1.1091,1.1162,EUR,USD,,,
Friday 29 December 2023 (29/12/2023),0.0539,0.0547,0.0546,0.0539,0.0543,ZAR,USD,,,
Thursday 28 December 2023 (28/12/2023),0.0544,0.0539,0.0542,0.0539,0.0541,ZAR,USD,,,
Wednesday 27 December 2023 (27/12/2023),0.0536,0.0544,0.0542,0.0539,0.0541,ZAR,USD,,,
Tuesday 26 December 2023 (26/12/2023),0.054,0.0536,0.0542,0.0535,0.0539,ZAR,USD,,,
Monday 25 December 2023 (25/12/2023),0.054,0.054,0.054,0.054,0.054,ZAR,USD,,,
Friday 22 December 2023 (22/12/2023),0.0545,0.0539,0.0545,0.0541,0.0543,ZAR,USD,,,
Thursday 21 December 2023 (21/12/2023),0.0546,0.0545,0.0548,0.0544,0.0546,ZAR,USD,,,
Wednesday 20 December 2023 (20/12/2023),0.0546,0.0546,0.0547,0.0545,0.0546,ZAR,USD,,,
